,PropertyType,BedroomsTotal,City,DaysOnMarket,Flooring,Heating,State,Levels,LotSizeSquareFeet,OriginalListPrice,RoomsTotal,Stories,UnparsedAddress,YearBuilt,PostalCode,PoolPrivateYN,CityRegion,Latitude,GarageSpaces,AttachedGarageYN,TaxAnnualAmount,years old,Electric,Forced Air,Wood,Heat Pump,Boiler
89,Residential,1,Port Camillamouth,45,"['Hardwood', 'Laminate']","Boiler,Wood",New York,"['One Level', 'Two Level', 'Split Level']",991,275854,22,1,"#479 231 Amelie Fork Lodge, Port Camillamouth, North Carolina 89504",1989,89504,False,Demarcusville,33.915877,1,True,574263,34,0,0,1,0,1
104,Residential,3,Alysaport,96,"['Hardwood', 'Laminate', 'Vinyl']",Heat Pump,New York,"['One Level', 'Two Level', 'Split Level']",813,485247,15,1,"#914 148 Hertha Square Ridges, Alysaport, Kansas 95092",1970,95092,True,Port Adrienneview,33.975858,4,False,717506,53,0,0,0,1,0
106,Residential,2,Lake Helmer,100,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles']","Wood,Electric,Forced Air",New York,"['One Level', 'Two Level', 'Split Level']",975,952545,16,1,,1998,65145,False,Bartelltown,34.030443,2,False,570925,25,1,1,1,0,0
152,Residential,1,Keelyberg,79,"['Hardwood', 'Laminate']","Heat Pump,Forced Air,Wood",New York,"['One Level', 'Two Level', 'Split Level']",1885,924135,7,1,"#139 337 Rosenbaum Glen Highway, Keelyberg, Kentucky 45565",1949,45565,True,North Ima,33.523103,2,True,244561,74,0,1,1,1,0
261,Residential,2,East Myrtisfurt,89,['Hardwood'],Boiler,New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level', 'Multi Level']",705,672314,18,1,"#195 76 Bosco Skyway Square, East Myrtisfurt, Ohio 57071",1999,57071,False,Rebecaburgh,34.296841,2,True,134438,24,0,0,0,0,1
264,Residential,2,Port Millerside,241,"['Hardwood', 'Laminate', 'Vinyl']",Heat Pump,New York,"['One Level', 'Two Level', 'Split Level']",674,882940,6,1,,2003,92375-4137,True,Lake Juston,33.993771,2,True,704130,20,0,0,0,1,0
322,Residential,1,Parisianmouth,238,"['Hardwood', 'Laminate', 'Vinyl']",Heat Pump,New York,"['One Level', 'Two Level', 'Split Level']",1628,929759,13,2,"#377 166 Leffler Lock Lane, Parisianmouth, Missouri 34350",2000,34350,False,Port Thomas,33.452358,4,True,983045,23,0,0,0,1,0
393,Residential,3,Lake Abnerberg,238,['Hardwood'],Heat Pump,New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level', 'Multi Level']",1951,643504,18,2,,1972,25017,False,Ernestshire,34.02734,2,False,867858,51,0,0,0,1,0
531,Residential,3,Lake Johannshire,363,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles', 'Cork']","Forced Air,Wood,Electric",New York,"['One Level', 'Two Level']",1399,968748,15,2,,1995,39231-4247,True,Port Cordiastad,34.071993,2,True,821312,28,1,1,1,0,0
624,Residential,1,Alysaville,358,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles', 'Cork', 'Rugs']","Heat Pump,Forced Air,Electric",New York,"['One Level', 'Two Level', 'Split Level']",612,470355,9,1,"#515 88 Morar Expressway Glen, Alysaville, Oklahoma 91917",1966,91917,False,Madilynside,34.135985,3,False,640595,57,1,1,0,1,0
643,Residential,1,Mertzchester,317,['Hardwood'],Forced Air,New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level', 'Multi Level']",1328,514922,6,2,,2012,92947-3954,False,Port Bruce,34.326865,3,False,302482,11,0,1,0,0,0
708,Residential,3,Lake Mackstad,260,"['Hardwood', 'Laminate']","Forced Air,Electric",New York,"['One Level', 'Two Level', 'Split Level']",1380,550819,3,2,"#780 85 Bradtke Lodge Branch, Lake Mackstad, Virginia 80169-8589",1979,80169-8589,False,Shieldsburgh,34.093635,4,True,581583,44,1,1,0,0,0
741,Residential,3,West Eduardofort,90,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles', 'Cork', 'Rugs']",Forced Air,New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level', 'Multi Level']",1091,755835,24,1,,2008,56301-4627,True,Isobelchester,34.090827,1,True,878960,15,0,1,0,0,0
870,Residential,4,Port Sabina,306,"['Hardwood', 'Laminate', 'Vinyl']",Wood,New York,"['One Level', 'Two Level', 'Split Level', 'Three or More Level', 'Multi Level']",1087,47787,21,1,,1960,40901-4398,True,Schambergerville,34.180852,4,False,360450,63,0,0,1,0,0
953,Residential,3,Stoltenbergton,233,"['Hardwood', 'Laminate', 'Vinyl', 'Tiles', 'Cork']","Electric,Boiler",New York,"['One Level', 'Two Level']",642,700694,8,1,,2003,47798,True,Jalonfurt,33.931053,2,True,868294,20,1,0,0,0,1
